sku,category_id
52060160,92456
52060183,91596
51952477,107774
51952638,107660
51952644,107543
51935037,109574
51935187,107774
51935360,107543
51991171,92324
51997928,91929
52068687,88114
52068687,87103
52068693,92312
51953318,103217
51953378,103226
51953378,103217
51935509,107774
51935596,89545
51998336,89041
52054692,92348
51953453,89440
51953643,107948
51935671,92765
51935890,103226
51935930,92765
52007708,91222
52060315,91587
51953856,93244
51936178,107543
51936186,107774
52009539,89404
52009568,91222
52009614,89023
52059978,91587
51954521,88477
51954521,92273
51936693,109463
51936710,109382
51936727,109463
51936733,109463
52009637,89023
52009658,87553
52009666,89023
52059174,92312
52059180,92312
52059208,92312
51937064,109463
51937070,109463
52009902,91428
52010525,87520
52060321,92456
52060344,92456
52060350,92456
52060396,92456
51967051,92537
51937110,109382
51937133,109382
52012728,92312
52012759,91231
52012771,88633
52022724,111114
52060091,91587
51923558,93121
52026789,93322
51939690,107543
51940733,109463
51874794,92309
51913864,92534
51913956,87493
51914206,93211
51914327,86710
51878640,00000
51863778,91431
51896480,91596
51896497,92465
51914385,92279
51914765,93376
51914834,109577
51878868,92765
51878951,92765
51864437,91710
51896537,92465
51896537,91596
51896543,91596
51896595,92465
51914903,93370
51915862,118578
51864458,91434
51864875,91431
51864915,91431
51897571,106919
51880740,88444
51864996,91710
51899471,118524
51899488,118524
51899958,86713
51903640,109604
51916849,88177
51916878,87181
51882248,92303
51882473,92849
51882542,92312
51865148,91434
51865177,91434
51865465,91434
51865505,91434
51907858,87568
51907889,87568
51920164,107699
51920890,88936
51920901,86512
51883086,92300
51883299,109616
51883316,109601
51865528,91710
51865632,91710
51921641,92519
51921664,92519
51885366,107582
51865655,91710
51865718,91716
51908108,91431
51908168,91431
51918732,76994
51918790,92978
51886146,100761
51865730,91440
51908237,91707
51908427,91431
51908448,91431
51922185,93026
51886215,100761
51866003,91707
51908485,91707
51908491,91431
51917065,89812
51917606,87097
51918346,109502
51918346,109421
51893517,98630
51866018,91431
51866274,91431
51908773,91710
51918868,76994
51918916,92978
51918916,76994
51918922,76994
51918968,93370
51896226,91596
51866971,91707
51908813,91710
51908828,91710
51922980,88480
51923437,000000
51896261,91596
51896353,92465
51912108,88288
51912108,87373
51918640,92978
51896408,92465
51896439,91596
51868456,91587
51868485,92456
51912243,88108
51912258,88108
51919034,88894
51912548,118719
51912554,118863
51912773,118527
51876210,88174
51876256,87187
51863571,91707
51863588,91707
51863611,91431
51863628,91707
51873363,93355
51873386,92417
51873403,92579
51912796,118527
51913829,92351
51913835,92351
51913858,92351
51876469,95939
51877111,93376
51877111,74945
51873461,92339
51873484,92537
52143022,87997
52143039,87997
52148368,87802
52148414,88132
52103168,95939
52103197,00000
52103197,95939
52105108,87517
52161829,99906
52161910,99906
52174478,88894
52148414,87802
52148760,87568
52151611,107819
52106516,118560
52108664,000000
52108664,106919
52108687,106919
52161948,99903
52161991,99906
52162039,99906
52162068,99903
52176207,114012
52155365,99903
52155411,99906
52155411,99903
52108733,106922
52108748,106922
52108762,106913
52109231,106282
52162097,99903
52162552,87523
52162707,88480
52155492,99906
52110919,77003
52162903,93322
52178401,91596
52178418,91596
52178424,91596
52156082,99903
52156151,99906
52110960,77003
52111285,106374
52162984,92537
52178983,91596
52179014,91596
52179020,92465
52179043,91596
52157144,118860
52115471,107639
52163608,92360
52163729,86791
52164550,93322
52176386,109607
52176403,109601
52176455,106937
52176490,118719
52159960,99906
52116216,88510
52117002,88480
52117123,93244
52165028,87553
52166300,95939
52178658,92465
52178735,91596
52160047,99906
52160208,99906
52160214,99906
52117549,106919
52117820,88219
52118272,107783
52119490,118527
52166338,00000
52160266,99906
52120441,86518
52166801,92261
52177045,87568
52160387,99903
52160433,99903
52160485,99906
52160485,99903
52160491,99906
52120510,88936
52121970,106937
52166818,92261
52169026,92735
52178885,92465
52160554,99906
